player_id,player_url,fifa_version,fifa_update,fifa_update_date,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,league_id,league_name,league_level,club_team_id,club_name,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,player_face_url
189509,/player/189509/thiago-alcantara/230009,23,9,2023-01-13,Thiago,Thiago Alcântara do Nascimento,CM,86,86,55500000.0,180000.0,31,1991-04-11,174,70,13.0,Premier League,1.0,9.0,Liverpool,LCM,6.0,,2020-09-18,2024.0,45,Spain,,,,Right,3,5,3,Medium/Medium,Normal (170-185),Yes,102700000.0,"#Dribbler, #Playmaker, #Acrobat, #Complete Midfielder","Injury Prone, Dives Into Tackles (AI), Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",61.0,72.0,87.0,90.0,73.0,69.0,78,68,54,91,82,89,85,77,89,92,69,55,90,84,90,75,86,75,60,73,80,82,75,88,75,90,68,76,75,6,11,7,9,13,,74+3,74+3,74+3,81,80,80,80,81,84+2,84+2,84+2,82+3,85+1,85+1,85+1,82+3,79+3,82+3,82+3,82+3,79+3,76+3,74+3,74+3,74+3,76+3,18+3,https://cdn.sofifa.net/players/189/509/23_120.png
192387,/player/192387/ciro-immobile/230009,23,9,2023-01-13,C. Immobile,Ciro Immobile,ST,86,86,55000000.0,100000.0,32,1990-02-20,185,85,31.0,Serie A,1.0,46.0,Lazio,ST,17.0,,2016-07-27,2025.0,27,Italy,1343.0,RS,17.0,Right,4,3,4,High/Medium,Unique,Yes,93500000.0,#Clinical Finisher,Outside Foot Shot,85.0,87.0,68.0,80.0,39.0,75.0,55,91,81,79,85,79,70,58,57,81,84,86,75,87,84,86,82,78,74,80,73,40,90,71,88,76,34,33,32,6,8,15,12,6,,85+1,85+1,85+1,80,83,83,83,80,80+3,80+3,80+3,78+3,73+3,73+3,73+3,78+3,61+3,59+3,59+3,59+3,61+3,58+3,55+3,55+3,55+3,58+3,17+3,https://cdn.sofifa.net/players/192/387/23_120.png
223848,/player/223848/sergej-milinkovic-savic/230009,23,9,2023-01-13,S. Milinković-Savić,Sergej Milinković-Savić,CM,86,87,77500000.0,90000.0,27,1995-02-27,192,76,31.0,Serie A,1.0,46.0,Lazio,RCM,21.0,,2015-08-06,2024.0,51,Serbia,,,,Right,5,4,3,High/Medium,Normal (185+),Yes,137600000.0,,"Power Header, Outside Foot Shot",68.0,80.0,82.0,82.0,79.0,86.0,71,82,86,86,74,85,81,78,86,87,66,70,62,84,63,83,87,91,87,81,79,79,82,83,59,84,78,79,74,7,10,7,16,7,,82+3,82+3,82+3,80,82,82,82,80,83+3,83+3,83+3,81+3,85+2,85+2,85+2,81+3,80+3,83+3,83+3,83+3,80+3,79+3,81+3,81+3,81+3,79+3,18+3,https://cdn.sofifa.net/players/223/848/23_120.png
224232,/player/224232/nicolo-barella/230009,23,9,2023-01-13,N. Barella,Nicolò Barella,CM,86,89,89500000.0,110000.0,25,1997-02-07,175,68,31.0,Serie A,1.0,44.0,Inter,RCM,23.0,,2020-09-01,2026.0,27,Italy,1343.0,RCM,18.0,Right,3,3,3,High/High,Normal (170-),Yes,154400000.0,"#Playmaker, #Engine, #Acrobat, #Complete Midfielder","Dives Into Tackles (AI), Long Shot Taker (AI)",79.0,76.0,83.0,84.0,78.0,81.0,79,73,53,86,80,80,79,67,85,87,80,78,90,88,90,77,78,94,73,79,84,83,81,86,73,86,80,79,81,11,5,13,14,11,,77+3,77+3,77+3,82,81,81,81,82,83+3,83+3,83+3,83+3,85+3,85+3,85+3,83+3,83+3,84+3,84+3,84+3,83+3,82+3,78+3,78+3,78+3,82+3,19+3,https://cdn.sofifa.net/players/224/232/23_120.png
231478,/player/231478/lautaro-martinez/230009,23,9,2023-01-13,L. Martínez,Lautaro Javier Martínez,ST,86,90,98500000.0,110000.0,24,1997-08-22,174,72,31.0,Serie A,1.0,44.0,Inter,LS,10.0,,2018-07-05,2026.0,52,Argentina,1369.0,SUB,22.0,Right,4,4,3,High/Medium,Unique,Yes,169900000.0,#Acrobat,"Flair, Outside Foot Shot, Technical Dribbler (AI)",83.0,83.0,72.0,85.0,48.0,84.0,58,88,84,76,90,84,78,54,73,86,86,80,86,89,89,80,89,80,84,76,90,45,86,80,74,86,55,31,44,11,8,8,8,13,,85+3,85+3,85+3,82,84,84,84,82,82+3,82+3,82+3,80+3,76+3,76+3,76+3,80+3,65+3,66+3,66+3,66+3,65+3,63+3,62+3,62+3,62+3,63+3,19+3,https://cdn.sofifa.net/players/231/478/23_120.png
238794,/player/238794/vinicius-jose-de-oliveira-junior/230009,23,9,2023-01-13,Vinícius Jr.,Vinícius José Paixão de Oliveira Júnior,LW,86,92,109000000.0,200000.0,21,2000-07-12,176,73,53.0,La Liga,1.0,243.0,Real Madrid,LW,20.0,,2018-07-12,2025.0,54,Brazil,,,,Right,4,5,2,High/High,Lean (170-185),Yes,245300000.0,"#Speedster, #Dribbler, #Acrobat","Flair, Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",95.0,79.0,74.0,90.0,29.0,67.0,72,84,50,75,72,92,77,62,73,89,95,95,94,82,83,76,75,84,62,76,58,26,82,75,65,79,32,25,18,5,7,7,7,10,,79+2,79+2,79+2,85,84,84,84,85,83+2,83+2,83+2,84+2,75+2,75+2,75+2,84+2,61+2,56+2,56+2,56+2,61+2,56+2,45+2,45+2,45+2,56+2,15+2,https://cdn.sofifa.net/players/238/794/23_120.png
192505,/player/192505/romelu-lukaku/230009,23,9,2023-01-13,R. Lukaku,Romelu Lukaku Menama,ST,85,85,54000000.0,185000.0,29,1993-05-13,191,94,31.0,Serie A,1.0,44.0,Inter,SUB,90.0,Chelsea,,2023.0,7,Belgium,1325.0,ST,9.0,Left,4,3,4,Medium/Low,Unique,Yes,,"#Poacher, #Strength, #Complete Forward","Speed Dribbler (AI), Power Header",80.0,85.0,75.0,77.0,38.0,82.0,73,88,87,78,79,82,78,66,70,78,72,86,59,83,52,87,74,67,95,75,71,27,86,75,88,82,30,41,30,8,15,14,7,10,,84+1,84+1,84+1,79,82,82,82,79,79+3,79+3,79+3,79+3,73+3,73+3,73+3,79+3,59+3,59+3,59+3,59+3,59+3,57+3,56+3,56+3,56+3,57+3,18+3,https://cdn.sofifa.net/players/192/505/23_120.png
192629,/player/192629/iago-aspas-juncal/230009,23,9,2023-01-13,Iago Aspas,Iago Aspas Juncal,ST,85,85,26000000.0,50000.0,34,1987-08-01,176,67,53.0,La Liga,1.0,450.0,Celta de Vigo,RS,10.0,,2015-07-01,2025.0,45,Spain,,,,Left,4,3,2,High/High,Lean (170-185),Yes,54600000.0,"#Acrobat, #Clinical Finisher","Leadership, Finesse Shot, Outside Foot Shot, Team Player, Chip Shot (AI)",82.0,85.0,79.0,86.0,35.0,63.0,80,90,76,79,84,87,79,83,73,86,78,85,87,84,72,79,66,70,60,80,63,39,86,81,82,85,39,21,18,12,16,9,12,13,,83+2,83+2,83+2,84,84,84,84,84,83+2,83+2,83+2,82+2,76+2,76+2,76+2,82+2,61+2,58+2,58+2,58+2,61+2,57+2,49+2,49+2,49+2,57+2,21+2,https://cdn.sofifa.net/players/192/629/23_120.png
208093,/player/208093/gerard-moreno-balaguero/230009,23,9,2023-01-13,Gerard Moreno,Gerard Moreno Balagueró,ST,85,85,53000000.0,64000.0,30,1992-04-07,180,77,53.0,La Liga,1.0,483.0,Villarreal,RS,7.0,,2018-07-02,2027.0,45,Spain,,,,Left,4,3,2,High/Medium,Normal (170-185),Yes,111300000.0,#Clinical Finisher,"Injury Prone, Finesse Shot, Outside Foot Shot",78.0,86.0,77.0,83.0,46.0,72.0,77,89,82,79,81,85,77,62,75,84,78,78,77,85,72,83,79,77,74,82,61,42,85,78,85,80,44,41,41,15,12,7,12,10,,83+2,83+2,83+2,82,83,83,83,82,82+2,82+2,82+2,81+2,77+2,77+2,77+2,81+2,65+2,63+2,63+2,63+2,65+2,63+2,58+2,58+2,58+2,63+2,20+2,https://cdn.sofifa.net/players/208/093/23_120.png
216594,/player/216594/nabil-fekir/230009,23,9,2023-01-13,N. Fekir,Nabil Fekir,CAM,85,85,54500000.0,48000.0,28,1993-07-18,173,75,53.0,La Liga,1.0,449.0,Real Betis,CAM,8.0,,2019-07-23,2026.0,18,France,,,,Left,4,4,3,High/Medium,Stocky (170-185),Yes,114500000.0,#Dribbler,"Power Free-Kick, Finesse Shot, Flair, Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",83.0,82.0,82.0,87.0,38.0,80.0,81,83,49,83,77,89,83,79,77,86,88,79,85,81,91,84,64,80,81,83,81,34,82,87,74,89,34,42,30,15,9,8,14,15,,80+3,80+3,80+3,84,84,84,84,84,84+1,84+1,84+1,84+1,79+3,79+3,79+3,84+1,64+3,64+3,64+3,64+3,64+3,60+3,53+3,53+3,53+3,60+3,20+3,https://cdn.sofifa.net/players/216/594/23_120.png
251854,/player/251854/pedro-gonzalez-lopez/230009,23,9,2023-01-13,Pedri,Pedro González López,CM,85,92,104500000.0,115000.0,19,2002-11-25,174,61,53.0,La Liga,1.0,241.0,FC Barcelona,LCM,8.0,,2020-08-04,2026.0,45,Spain,1362.0,LCM,26.0,Right,4,4,2,High/High,Lean (170-185),Yes,235100000.0,"#Dribbler, #Playmaker, #Engine, #Acrobat, #Complete Midfielder","Solid Player, Flair, Long Passer (AI), Technical Dribbler (AI)",79.0,67.0,81.0,87.0,68.0,74.0,68,68,50,87,56,87,79,62,85,88,82,76,88,85,90,66,65,88,73,67,62,72,77,88,53,87,68,73,63,12,7,11,8,8,,74+2,74+2,74+2,81,80,80,80,81,83+2,83+2,83+2,82+2,84+2,84+2,84+2,82+2,77+2,78+2,78+2,78+2,77+2,75+2,70+2,70+2,70+2,75+2,17+2,https://cdn.sofifa.net/players/251/854/23_120.png
252371,/player/252371/jude-bellingham/230009,23,9,2023-01-13,J. Bellingham,Jude Victor William Bellingham,CM,85,91,81500000.0,44000.0,19,2003-06-29,186,75,19.0,Bundesliga,1.0,22.0,Borussia Dortmund,LDM,22.0,,2020-07-23,2025.0,14,England,1318.0,SUB,22.0,Right,4,4,2,High/High,Lean (185+),Yes,154900000.0,"#Dribbler, #Engine","Dives Into Tackles (AI), Leadership, Flair, Technical Dribbler (AI)",72.0,75.0,79.0,84.0,78.0,80.0,66,77,69,86,71,86,68,49,85,84,77,68,81,85,79,78,77,89,74,74,85,81,78,84,56,81,79,78,76,14,11,10,5,8,,78+2,78+2,78+2,80,81,81,81,80,82+2,82+2,82+2,81+2,84+2,84+2,84+2,81+2,79+2,82+2,82+2,82+2,79+2,78+2,78+2,78+2,78+2,78+2,18+2,https://cdn.sofifa.net/players/252/371/23_120.png
180930,/player/180930/edin-dzeko/230009,23,9,2023-01-13,E. Džeko,Edin Džeko,ST,84,84,14500000.0,80000.0,36,1986-03-17,193,80,31.0,Serie A,1.0,44.0,Inter,RS,9.0,,2021-08-14,2023.0,8,Bosnia and Herzegovina,,,,Right,5,3,3,High/Medium,Lean (185+),Yes,23900000.0,,"Finesse Shot, Technical Dribbler (AI)",63.0,84.0,71.0,77.0,45.0,75.0,63,87,85,76,79,77,65,54,76,84,61,65,62,85,55,86,64,69,86,77,58,50,90,74,67,87,54,28,16,9,11,13,15,15,,83+1,83+1,83+1,77,80,80,80,77,78+3,78+3,78+3,76+3,75+3,75+3,75+3,76+3,59+3,62+3,62+3,62+3,59+3,56+3,56+3,56+3,56+3,56+3,21+3,https://cdn.sofifa.net/players/180/930/23_120.png
183277,/player/183277/eden-hazard/230009,23,9,2023-01-13,E. Hazard,Eden Michael Hazard,LW,84,84,35000000.0,220000.0,31,1991-01-07,175,74,53.0,La Liga,1.0,243.0,Real Madrid,SUB,7.0,,2019-07-01,2024.0,7,Belgium,1325.0,LF,10.0,Right,4,4,4,Medium/Medium,Unique,Yes,71800000.0,#Dribbler,"Injury Prone, Finesse Shot, Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",83.0,79.0,82.0,87.0,35.0,63.0,77,78,61,85,82,89,83,79,81,87,84,82,85,77,89,82,55,74,61,77,54,41,83,84,84,88,34,27,22,11,12,6,8,8,,79+3,79+3,79+3,83,83,83,83,83,84,84,84,83+1,78+3,78+3,78+3,83+1,62+3,60+3,60+3,60+3,62+3,57+3,48+3,48+3,48+3,57+3,17+3,https://cdn.sofifa.net/players/183/277/23_120.png
183898,/player/183898/angel-di-maria/230009,23,9,2023-01-13,Á. Di María,Ángel Fabián Di María Hernández,RW,84,84,20000000.0,160000.0,34,1988-02-14,180,69,31.0,Serie A,1.0,45.0,Juventus,SUB,22.0,,2022-07-08,2023.0,52,Argentina,1369.0,LW,11.0,Left,2,5,4,High/Medium,Unique,Yes,34000000.0,"#Dribbler, #FK Specialist, #Acrobat","Injury Prone, Flair, Long Shot Taker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",79.0,78.0,86.0,88.0,48.0,67.0,85,74,51,85,78,88,92,88,80,89,80,79,91,83,75,83,70,74,61,84,73,42,82,89,73,87,41,55,52,10,7,11,12,11,,78+3,78+3,78+3,84,83,83,83,84,85-1,85-1,85-1,84,81+3,81+3,81+3,84,69+3,67+3,67+3,67+3,69+3,66+3,58+3,58+3,58+3,66+3,18+3,https://cdn.sofifa.net/players/183/898/23_120.png
188567,/player/188567/pierre-emerick-aubameyang/230009,23,9,2023-01-13,P. Aubameyang,Pierre-Emerick Emiliano François Aubameyang,ST,84,84,27000000.0,165000.0,33,1989-06-18,187,80,13.0,Premier League,1.0,5.0,Chelsea,SUB,9.0,,2022-09-01,2024.0,115,Gabon,,,,Right,4,4,3,High/Low,Unique,Yes,50000000.0,,"Solid Player, Finesse Shot, Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI)",87.0,84.0,74.0,79.0,36.0,66.0,72,86,76,78,82,78,80,76,64,82,85,89,77,84,67,83,75,68,74,79,43,48,87,74,82,82,20,29,36,6,9,15,9,9,,83+1,83+1,83+1,81,82,82,82,81,80+3,80+3,80+3,79+3,73+3,73+3,73+3,79+3,62+3,57+3,57+3,57+3,62+3,59+3,51+3,51+3,51+3,59+3,17+3,https://cdn.sofifa.net/players/188/567/23_120.png
199451,/player/199451/wissam-ben-yedder/230009,23,9,2023-01-13,W. Ben Yedder,Wissam Ben Yedder,ST,84,84,35500000.0,88000.0,31,1990-08-12,170,68,16.0,Ligue 1,1.0,69.0,Monaco,LS,10.0,,2019-08-14,2024.0,18,France,,,,Right,5,4,2,High/Low,Unique,Yes,67500000.0,"#Dribbler, #Acrobat","Leadership, Flair, Outside Foot Shot, Team Player, Chip Shot (AI), Technical Dribbler (AI)",81.0,84.0,78.0,88.0,39.0,68.0,74,87,74,83,85,87,82,76,66,88,82,81,91,85,91,84,77,72,68,74,62,44,89,80,85,85,34,33,26,6,13,9,7,7,,84,84,84,84,85-1,85-1,85-1,84,84,84,84,82+2,77+2,77+2,77+2,82+2,63+2,61+2,61+2,61+2,63+2,59+2,53+2,53+2,53+2,59+2,17+2,https://cdn.sofifa.net/players/199/451/23_120.png
207410,/player/207410/mateo-kovacic/230009,23,9,2023-01-13,M. Kovačić,Mateo Kovačić,CM,84,84,42000000.0,155000.0,28,1994-05-06,177,80,13.0,Premier League,1.0,5.0,Chelsea,LCM,8.0,,2019-07-01,2024.0,10,Croatia,1328.0,LCM,8.0,Right,4,4,3,High/High,Normal (170-185),Yes,77700000.0,"#Dribbler, #Playmaker, #Acrobat, #Complete Midfielder","Injury Prone, Flair, Playmaker (AI), Technical Dribbler (AI)",70.0,69.0,83.0,88.0,71.0,71.0,73,61,42,90,76,89,79,70,84,89,77,65,86,83,84,79,75,76,65,77,77,76,73,86,59,84,73,76,68,9,5,6,7,7,,72+3,72+3,72+3,80,79,79,79,80,83+1,83+1,83+1,81+3,84,84,84,81+3,77+3,80+3,80+3,80+3,77+3,75+3,72+3,72+3,72+3,75+3,15+3,https://cdn.sofifa.net/players/207/410/23_120.png
